2.86478  -2.54647 0.565882 0          0      0       0       0      0       0      0 
0	  0	     0	      0	 0	0	0	0	0	0      0
0	  0	     0	      0 	 0	0	0	0	0	0      0	
0	  0	     0	      0	 0	0	0	0	0	0      0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0        0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0.0480805 0        0        0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
-0.371134  0.164948   0   0         0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
0	  0	     0	      0	0	0	0	0	0	0	0
14.3637	-18.1437	7.68018	-1.23196	0.0662231	0	0	0	0	0	0
-0.755986	1.48545	-1.00139	0.266402	-0.0212824	0	0	0	0	0	0
-0.755986	1.48545	-1.00139	0.266402	-0.0212824	0	0	0	0	0	0
0.0397887	-0.106103	0.103729	-0.043991	0.00683961	0	0	0	0	0	0
0.0346155	-0.0903448	0.0896114	-0.0400138	0.00679021	0	0	0	0	0	0
0.0359084	-0.0943139	0.0935814	-0.041572	0.00697605	0	0	0	0	0	0
0.0359084	-0.0943139	0.0935814	-0.041572	0.00697605	0	0	0	0	0	0
0.0372496	-0.0984534	0.0977332	-0.0431855	0.00716698	0	0	0	0	0	0
0.069231	-0.186579	0.19008	-0.0867403	0.0149629	0	0	0	0	0	0
0.0718168	-0.192953	0.194127	-0.0866714	0.0144756	0	0	0	0	0	0
0.0718168	-0.192953	0.194127	-0.0866714	0.0144756	0	0	0	0	0	0
0.0744992	-0.199543	0.198218	-0.0865149	0.0140042	0	0	0	0	0	0
0.019671	-0.0157368	0.00314736	0	0	0	0	0	0	0	0
-0.00859149	0.00687319	-0.00137464	0	0	0	0	0	0	0	0
-0.00859149	0.00687319	-0.00137464	0	0	0	0	0	0	0	0
0.00375241	-0.00300193	0.000600385	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
